"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Delete exercise","LMS service","Tue May 27 17:25:36 GMT 2025","passed","Tue May 27 17:25:36 GMT 2025","Delete entity","Exercises","",""
"","306","Create file","LMS service","Tue May 27 17:25:37 GMT 2025","passed","Tue May 27 17:25:37 GMT 2025","Create entity","Files","",""
"","289","Login with correct email and password","LMS service","Tue May 27 17:25:31 GMT 2025","passed","Tue May 27 17:25:31 GMT 2025","Login","Authentication","",""
"","552","Create user with email: gmail.com","LMS service","Tue May 27 17:25:39 GMT 2025","passed","Tue May 27 17:25:40 GMT 2025","Create entity","Users","",""
"","304","Get courses","LMS service","Tue May 27 17:25:32 GMT 2025","passed","Tue May 27 17:25:32 GMT 2025","Get entities","Courses","",""
"","526","Create user with email: example.com","LMS service","Tue May 27 17:25:40 GMT 2025","passed","Tue May 27 17:25:40 GMT 2025","Create entity","Users","",""
"","288","Create user with email: mail.ru","LMS service","Tue May 27 17:25:39 GMT 2025","passed","Tue May 27 17:25:39 GMT 2025","Create entity","Users","",""
"","16","Get file","LMS service","Tue May 27 17:25:37 GMT 2025","passed","Tue May 27 17:25:37 GMT 2025","Get entity","Files","",""
"","21","Get exercise","LMS service","Tue May 27 17:25:34 GMT 2025","passed","Tue May 27 17:25:34 GMT 2025","Get entity","Exercises","",""
"","19","Delete file","LMS service","Tue May 27 17:25:39 GMT 2025","passed","Tue May 27 17:25:39 GMT 2025","Delete entity","Files","",""
"","25","Create file with empty directory","LMS service","Tue May 27 17:25:38 GMT 2025","passed","Tue May 27 17:25:38 GMT 2025","Validate entity","Files","",""
"","16","Get user me","LMS service","Tue May 27 17:25:41 GMT 2025","passed","Tue May 27 17:25:41 GMT 2025","Get entity","Users","",""
"","26","Update exercise","LMS service","Tue May 27 17:25:34 GMT 2025","passed","Tue May 27 17:25:34 GMT 2025","Update entity","Exercises","",""
"","23","Get exercises","LMS service","Tue May 27 17:25:36 GMT 2025","passed","Tue May 27 17:25:36 GMT 2025","Get entities","Exercises","",""
"","22","Create exercise","LMS service","Tue May 27 17:25:33 GMT 2025","passed","Tue May 27 17:25:33 GMT 2025","Create entity","Exercises","",""
"","17","Get file with incorrect file id","LMS service","Tue May 27 17:25:39 GMT 2025","passed","Tue May 27 17:25:39 GMT 2025","Validate entity","Files","",""
"","31","Create course","LMS service","Tue May 27 17:25:32 GMT 2025","passed","Tue May 27 17:25:32 GMT 2025","Create entity","Courses","",""
"","266","Create file with empty filename","LMS service","Tue May 27 17:25:38 GMT 2025","passed","Tue May 27 17:25:38 GMT 2025","Validate entity","Files","",""
"","36","Update course","LMS service","Tue May 27 17:25:33 GMT 2025","passed","Tue May 27 17:25:33 GMT 2025","Update entity","Courses","",""
