"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Delete exercise","LMS service","Sun May 25 09:23:51 GMT 2025","passed","Sun May 25 09:23:51 GMT 2025","Delete entity","Exercises","",""
"","37","Update course","LMS service","Sun May 25 09:23:48 GMT 2025","passed","Sun May 25 09:23:48 GMT 2025","Update entity","Courses","",""
"","27","Get exercises","LMS service","Sun May 25 09:23:52 GMT 2025","passed","Sun May 25 09:23:52 GMT 2025","Get entities","Exercises","",""
"","555","Login with correct email and password","LMS service","Sun May 25 09:23:47 GMT 2025","passed","Sun May 25 09:23:47 GMT 2025","Login","Authentication","",""
"","79","Create file","LMS service","Sun May 25 09:23:52 GMT 2025","passed","Sun May 25 09:23:52 GMT 2025","Create entity","Files","",""
"","528","Create user with email: example.com","LMS service","Sun May 25 09:23:55 GMT 2025","passed","Sun May 25 09:23:55 GMT 2025","Create entity","Users","",""
"","29","Create exercise","LMS service","Sun May 25 09:23:49 GMT 2025","passed","Sun May 25 09:23:50 GMT 2025","Create entity","Exercises","",""
"","26","Delete file","LMS service","Sun May 25 09:23:54 GMT 2025","passed","Sun May 25 09:23:54 GMT 2025","Delete entity","Files","",""
"","16","Get user me","LMS service","Sun May 25 09:23:56 GMT 2025","passed","Sun May 25 09:23:56 GMT 2025","Get entity","Users","",""
"","520","Create user with email: mail.ru","LMS service","Sun May 25 09:23:54 GMT 2025","passed","Sun May 25 09:23:55 GMT 2025","Create entity","Users","",""
"","268","Get file with incorrect file id","LMS service","Sun May 25 09:23:55 GMT 2025","passed","Sun May 25 09:23:55 GMT 2025","Validate entity","Files","",""
"","36","Get courses","LMS service","Sun May 25 09:23:47 GMT 2025","passed","Sun May 25 09:23:47 GMT 2025","Get entities","Courses","",""
"","17","Get file","LMS service","Sun May 25 09:23:53 GMT 2025","passed","Sun May 25 09:23:53 GMT 2025","Get entity","Files","",""
"","22","Update exercise","LMS service","Sun May 25 09:23:50 GMT 2025","passed","Sun May 25 09:23:50 GMT 2025","Update entity","Exercises","",""
"","28","Get exercise","LMS service","Sun May 25 09:23:51 GMT 2025","passed","Sun May 25 09:23:51 GMT 2025","Get entity","Exercises","",""
"","267","Create file with empty directory","LMS service","Sun May 25 09:23:54 GMT 2025","passed","Sun May 25 09:23:54 GMT 2025","Validate entity","Files","",""
"","35","Create course","LMS service","Sun May 25 09:23:48 GMT 2025","passed","Sun May 25 09:23:48 GMT 2025","Create entity","Courses","",""
"","557","Create user with email: gmail.com","LMS service","Sun May 25 09:23:56 GMT 2025","passed","Sun May 25 09:23:56 GMT 2025","Create entity","Users","",""
"","27","Create file with empty filename","LMS service","Sun May 25 09:23:53 GMT 2025","passed","Sun May 25 09:23:53 GMT 2025","Validate entity","Files","",""
