"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","531","Create user with email: example.com","LMS service","Mon May 26 20:17:48 GMT 2025","passed","Mon May 26 20:17:49 GMT 2025","Create entity","Users","",""
"","17","Get file","LMS service","Mon May 26 20:17:46 GMT 2025","passed","Mon May 26 20:17:46 GMT 2025","Get entity","Files","",""
"","27","Get exercise","LMS service","Mon May 26 20:17:44 GMT 2025","passed","Mon May 26 20:17:44 GMT 2025","Get entity","Exercises","",""
"","262","Get file with incorrect file id","LMS service","Mon May 26 20:17:48 GMT 2025","passed","Mon May 26 20:17:49 GMT 2025","Validate entity","Files","",""
"","24","Update exercise","LMS service","Mon May 26 20:17:43 GMT 2025","passed","Mon May 26 20:17:43 GMT 2025","Update entity","Exercises","",""
"","24","Delete file","LMS service","Mon May 26 20:17:47 GMT 2025","passed","Mon May 26 20:17:47 GMT 2025","Delete entity","Files","",""
"","555","Login with correct email and password","LMS service","Mon May 26 20:17:40 GMT 2025","passed","Mon May 26 20:17:40 GMT 2025","Login","Authentication","",""
"","32","Create course","LMS service","Mon May 26 20:17:41 GMT 2025","passed","Mon May 26 20:17:41 GMT 2025","Create entity","Courses","",""
"","32","Update course","LMS service","Mon May 26 20:17:41 GMT 2025","passed","Mon May 26 20:17:42 GMT 2025","Update entity","Courses","",""
"","19","Delete exercise","LMS service","Mon May 26 20:17:44 GMT 2025","passed","Mon May 26 20:17:44 GMT 2025","Delete entity","Exercises","",""
"","267","Create file with empty directory","LMS service","Mon May 26 20:17:47 GMT 2025","passed","Mon May 26 20:17:47 GMT 2025","Validate entity","Files","",""
"","558","Create user with email: gmail.com","LMS service","Mon May 26 20:17:49 GMT 2025","passed","Mon May 26 20:17:49 GMT 2025","Create entity","Users","",""
"","33","Get courses","LMS service","Mon May 26 20:17:40 GMT 2025","passed","Mon May 26 20:17:40 GMT 2025","Get entities","Courses","",""
"","74","Create file","LMS service","Mon May 26 20:17:45 GMT 2025","passed","Mon May 26 20:17:45 GMT 2025","Create entity","Files","",""
"","26","Create file with empty filename","LMS service","Mon May 26 20:17:46 GMT 2025","passed","Mon May 26 20:17:46 GMT 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Mon May 26 20:17:49 GMT 2025","passed","Mon May 26 20:17:49 GMT 2025","Get entity","Users","",""
"","27","Get exercises","LMS service","Mon May 26 20:17:45 GMT 2025","passed","Mon May 26 20:17:45 GMT 2025","Get entities","Exercises","",""
"","27","Create exercise","LMS service","Mon May 26 20:17:43 GMT 2025","passed","Mon May 26 20:17:43 GMT 2025","Create entity","Exercises","",""
"","517","Create user with email: mail.ru","LMS service","Mon May 26 20:17:48 GMT 2025","passed","Mon May 26 20:17:48 GMT 2025","Create entity","Users","",""
