"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","525","Create user with email: example.com","LMS service","Sun May 25 11:46:01 GMT 2025","passed","Sun May 25 11:46:02 GMT 2025","Create entity","Users","",""
"","32","Update course","LMS service","Sun May 25 11:45:55 GMT 2025","passed","Sun May 25 11:45:55 GMT 2025","Update entity","Courses","",""
"","24","Delete file","LMS service","Sun May 25 11:46:01 GMT 2025","passed","Sun May 25 11:46:01 GMT 2025","Delete entity","Files","",""
"","519","Create user with email: mail.ru","LMS service","Sun May 25 11:46:01 GMT 2025","passed","Sun May 25 11:46:01 GMT 2025","Create entity","Users","",""
"","554","Login with correct email and password","LMS service","Sun May 25 11:45:53 GMT 2025","passed","Sun May 25 11:45:53 GMT 2025","Login","Authentication","",""
"","21","Delete exercise","LMS service","Sun May 25 11:45:57 GMT 2025","passed","Sun May 25 11:45:57 GMT 2025","Delete entity","Exercises","",""
"","26","Create file with empty filename","LMS service","Sun May 25 11:45:59 GMT 2025","passed","Sun May 25 11:45:59 GMT 2025","Validate entity","Files","",""
"","552","Create user with email: gmail.com","LMS service","Sun May 25 11:46:02 GMT 2025","passed","Sun May 25 11:46:02 GMT 2025","Create entity","Users","",""
"","24","Get exercises","LMS service","Sun May 25 11:45:58 GMT 2025","passed","Sun May 25 11:45:58 GMT 2025","Get entities","Exercises","",""
"","14","Get user me","LMS service","Sun May 25 11:46:03 GMT 2025","passed","Sun May 25 11:46:03 GMT 2025","Get entity","Users","",""
"","13","Get file","LMS service","Sun May 25 11:45:59 GMT 2025","passed","Sun May 25 11:45:59 GMT 2025","Get entity","Files","",""
"","65","Create file","LMS service","Sun May 25 11:45:58 GMT 2025","passed","Sun May 25 11:45:58 GMT 2025","Create entity","Files","",""
"","25","Update exercise","LMS service","Sun May 25 11:45:56 GMT 2025","passed","Sun May 25 11:45:56 GMT 2025","Update entity","Exercises","",""
"","263","Get file with incorrect file id","LMS service","Sun May 25 11:46:01 GMT 2025","passed","Sun May 25 11:46:02 GMT 2025","Validate entity","Files","",""
"","33","Create course","LMS service","Sun May 25 11:45:55 GMT 2025","passed","Sun May 25 11:45:55 GMT 2025","Create entity","Courses","",""
"","27","Get exercise","LMS service","Sun May 25 11:45:57 GMT 2025","passed","Sun May 25 11:45:57 GMT 2025","Get entity","Exercises","",""
"","266","Create file with empty directory","LMS service","Sun May 25 11:46:00 GMT 2025","passed","Sun May 25 11:46:00 GMT 2025","Validate entity","Files","",""
"","33","Create exercise","LMS service","Sun May 25 11:45:56 GMT 2025","passed","Sun May 25 11:45:56 GMT 2025","Create entity","Exercises","",""
"","38","Get courses","LMS service","Sun May 25 11:45:53 GMT 2025","passed","Sun May 25 11:45:53 GMT 2025","Get entities","Courses","",""
