"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Create course","LMS service","Mon May 26 19:56:13 GMT 2025","passed","Mon May 26 19:56:13 GMT 2025","Create entity","Courses","",""
"","23","Get exercise","LMS service","Mon May 26 19:56:16 GMT 2025","passed","Mon May 26 19:56:16 GMT 2025","Get entity","Exercises","",""
"","561","Create user with email: gmail.com","LMS service","Mon May 26 19:56:20 GMT 2025","passed","Mon May 26 19:56:21 GMT 2025","Create entity","Users","",""
"","288","Login with correct email and password","LMS service","Mon May 26 19:56:12 GMT 2025","passed","Mon May 26 19:56:12 GMT 2025","Login","Authentication","",""
"","39","Get user me","LMS service","Mon May 26 19:56:22 GMT 2025","passed","Mon May 26 19:56:22 GMT 2025","Get entity","Users","",""
"","21","Get file with incorrect file id","LMS service","Mon May 26 19:56:20 GMT 2025","passed","Mon May 26 19:56:20 GMT 2025","Validate entity","Files","",""
"","316","Create file","LMS service","Mon May 26 19:56:18 GMT 2025","passed","Mon May 26 19:56:18 GMT 2025","Create entity","Files","",""
"","21","Get exercises","LMS service","Mon May 26 19:56:17 GMT 2025","passed","Mon May 26 19:56:17 GMT 2025","Get entities","Exercises","",""
"","40","Update course","LMS service","Mon May 26 19:56:14 GMT 2025","passed","Mon May 26 19:56:14 GMT 2025","Update entity","Courses","",""
"","25","Create exercise","LMS service","Mon May 26 19:56:14 GMT 2025","passed","Mon May 26 19:56:14 GMT 2025","Create entity","Exercises","",""
"","307","Get courses","LMS service","Mon May 26 19:56:13 GMT 2025","passed","Mon May 26 19:56:13 GMT 2025","Get entities","Courses","",""
"","25","Delete file","LMS service","Mon May 26 19:56:20 GMT 2025","passed","Mon May 26 19:56:20 GMT 2025","Delete entity","Files","",""
"","525","Create user with email: example.com","LMS service","Mon May 26 19:56:21 GMT 2025","passed","Mon May 26 19:56:21 GMT 2025","Create entity","Users","",""
"","34","Delete exercise","LMS service","Mon May 26 19:56:17 GMT 2025","passed","Mon May 26 19:56:17 GMT 2025","Delete entity","Exercises","",""
"","28","Create file with empty directory","LMS service","Mon May 26 19:56:19 GMT 2025","passed","Mon May 26 19:56:19 GMT 2025","Validate entity","Files","",""
"","32","Update exercise","LMS service","Mon May 26 19:56:16 GMT 2025","passed","Mon May 26 19:56:16 GMT 2025","Update entity","Exercises","",""
"","293","Create user with email: mail.ru","LMS service","Mon May 26 19:56:20 GMT 2025","passed","Mon May 26 19:56:21 GMT 2025","Create entity","Users","",""
"","265","Create file with empty filename","LMS service","Mon May 26 19:56:19 GMT 2025","passed","Mon May 26 19:56:19 GMT 2025","Validate entity","Files","",""
"","24","Get file","LMS service","Mon May 26 19:56:18 GMT 2025","passed","Mon May 26 19:56:18 GMT 2025","Get entity","Files","",""
