"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Get courses","LMS service","Mon May 26 20:11:28 GMT 2025","passed","Mon May 26 20:11:28 GMT 2025","Get entities","Courses","",""
"","31","Create course","LMS service","Mon May 26 20:11:29 GMT 2025","passed","Mon May 26 20:11:29 GMT 2025","Create entity","Courses","",""
"","551","Login with correct email and password","LMS service","Mon May 26 20:11:28 GMT 2025","passed","Mon May 26 20:11:28 GMT 2025","Login","Authentication","",""
"","558","Create user with email: gmail.com","LMS service","Mon May 26 20:11:37 GMT 2025","passed","Mon May 26 20:11:37 GMT 2025","Create entity","Users","",""
"","24","Update exercise","LMS service","Mon May 26 20:11:31 GMT 2025","passed","Mon May 26 20:11:31 GMT 2025","Update entity","Exercises","",""
"","23","Create file with empty filename","LMS service","Mon May 26 20:11:34 GMT 2025","passed","Mon May 26 20:11:34 GMT 2025","Validate entity","Files","",""
"","29","Create exercise","LMS service","Mon May 26 20:11:31 GMT 2025","passed","Mon May 26 20:11:31 GMT 2025","Create entity","Exercises","",""
"","268","Create file with empty directory","LMS service","Mon May 26 20:11:35 GMT 2025","passed","Mon May 26 20:11:35 GMT 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Mon May 26 20:11:34 GMT 2025","passed","Mon May 26 20:11:34 GMT 2025","Get entity","Files","",""
"","25","Delete file","LMS service","Mon May 26 20:11:35 GMT 2025","passed","Mon May 26 20:11:35 GMT 2025","Delete entity","Files","",""
"","25","Get exercise","LMS service","Mon May 26 20:11:32 GMT 2025","passed","Mon May 26 20:11:32 GMT 2025","Get entity","Exercises","",""
"","523","Create user with email: example.com","LMS service","Mon May 26 20:11:36 GMT 2025","passed","Mon May 26 20:11:37 GMT 2025","Create entity","Users","",""
"","76","Create file","LMS service","Mon May 26 20:11:33 GMT 2025","passed","Mon May 26 20:11:33 GMT 2025","Create entity","Files","",""
"","518","Create user with email: mail.ru","LMS service","Mon May 26 20:11:35 GMT 2025","passed","Mon May 26 20:11:36 GMT 2025","Create entity","Users","",""
"","30","Get exercises","LMS service","Mon May 26 20:11:33 GMT 2025","passed","Mon May 26 20:11:33 GMT 2025","Get entities","Exercises","",""
"","30","Update course","LMS service","Mon May 26 20:11:29 GMT 2025","passed","Mon May 26 20:11:29 GMT 2025","Update entity","Courses","",""
"","262","Get file with incorrect file id","LMS service","Mon May 26 20:11:36 GMT 2025","passed","Mon May 26 20:11:37 GMT 2025","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Mon May 26 20:11:32 GMT 2025","passed","Mon May 26 20:11:32 GMT 2025","Delete entity","Exercises","",""
"","15","Get user me","LMS service","Mon May 26 20:11:37 GMT 2025","passed","Mon May 26 20:11:37 GMT 2025","Get entity","Users","",""
